,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_leaf_nodes,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_F1 Score,split1_test_F1 Score,split2_test_F1 Score,split3_test_F1 Score,mean_test_F1 Score,std_test_F1 Score,rank_test_F1 Score
12,0.026235461235046387,0.0028613614562567466,0.004247486591339111,0.0016385955152415134,900,2,10,41,"{'max_leaf_nodes': 900, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 41}",0.8141025641025641,0.7628205128205128,0.8333333333333334,0.8064516129032258,0.8041770057899089,0.025807661129425473,41,0.768,0.6105263157894737,0.7678571428571429,0.7500000000000001,0.7240958646616541,0.06597668002364297,45
13,0.06496262550354004,0.006515292519363912,0.004497230052947998,0.0004995472461616533,900,2,20,41,"{'max_leaf_nodes': 900, 'min_samples_split': 2, 'n_estimators': 20, 'random_state': 41}",0.8141025641025641,0.7564102564102564,0.8269230769230769,0.8,0.7993589743589744,0.02656198635269315,44,0.7603305785123967,0.6122448979591837,0.7610619469026548,0.743801652892562,0.7193597690666993,0.06222676305303442,47
14,0.07495707273483276,0.0067432982089312725,0.006496906280517578,0.0004986570891781522,900,2,30,41,"{'max_leaf_nodes': 900, 'min_samples_split': 2, 'n_estimators': 30, 'random_state': 41}",0.8141025641025641,0.7884615384615384,0.8205128205128205,0.8,0.8057692307692308,0.012446466563427943,36,0.7603305785123967,0.6597938144329898,0.7543859649122806,0.743801652892562,0.7295780026875571,0.040722540027327135,35
15,0.032980382442474365,0.008854785624388063,0.0037483572959899902,0.000827462246948752,900,3,10,41,"{'max_leaf_nodes': 900, 'min_samples_split': 3, 'n_estimators': 10, 'random_state': 41}",0.8141025641025641,0.782051282051282,0.8012820512820513,0.8,0.7993589743589744,0.011413137060746705,44,0.7642276422764228,0.66,0.743801652892562,0.7479674796747967,0.7289991937109455,0.04056119140052753,37
16,0.055218398571014404,0.007220224505141884,0.005996406078338623,0.0018691002943494461,900,3,20,41,"{'max_leaf_nodes': 900, 'min_samples_split': 3, 'n_estimators': 20, 'random_state': 41}",0.8333333333333334,0.7628205128205128,0.8141025641025641,0.8129032258064516,0.8057899090157156,0.0260993713663707,34,0.7833333333333333,0.6336633663366336,0.7478260869565218,0.7603305785123968,0.7312883412847214,0.05778465519938789,30
17,0.07220882177352905,0.011426116803401016,0.0072463154792785645,0.0019188204780065396,900,3,30,41,"{'max_leaf_nodes': 900, 'min_samples_split': 3, 'n_estimators': 30, 'random_state': 41}",0.8461538461538461,0.7948717948717948,0.8205128205128205,0.8129032258064516,0.8186104218362283,0.018427926094272445,8,0.7966101694915254,0.68,0.7543859649122806,0.7603305785123968,0.7478316782290507,0.04236643412960247,5
18,0.03622901439666748,0.003763919864101507,0.005498051643371582,0.00111758089699619,900,4,10,41,"{'max_leaf_nodes': 900, 'min_samples_split': 4, 'n_estimators': 10, 'random_state': 41}",0.8076923076923077,0.7628205128205128,0.8141025641025641,0.832258064516129,0.8042183622828785,0.025542966662850754,38,0.7540983606557377,0.6185567010309277,0.7521367521367521,0.7758620689655172,0.7251634706972337,0.06224977303890315,40
19,0.046973228454589844,0.009240046224455118,0.004247307777404785,0.0004331233103905521,900,4,20,41,"{'max_leaf_nodes': 900, 'min_samples_split': 4, 'n_estimators': 20, 'random_state': 41}",0.8397435897435898,0.7692307692307693,0.8012820512820513,0.8258064516129032,0.8090157154673284,0.02678050870794175,27,0.7899159663865546,0.64,0.7207207207207207,0.7692307692307694,0.7299668640845112,0.05769548707321029,32
20,0.0752069354057312,0.0052577353185239055,0.006246447563171387,0.000828666679726798,900,4,30,41,"{'max_leaf_nodes': 900, 'min_samples_split': 4, 'n_estimators': 30, 'random_state': 41}",0.8525641025641025,0.7756410256410257,0.8076923076923077,0.832258064516129,0.8170388751033912,0.02870019936775125,10,0.8099173553719008,0.6464646464646464,0.7272727272727272,0.7833333333333333,0.7417470156106519,0.06257965311876729,17
21,0.025735914707183838,0.003110367939277317,0.003497779369354248,0.0004997851525876661,900,5,10,41,"{'max_leaf_nodes': 900, 'min_samples_split': 5, 'n_estimators': 10, 'random_state': 41}",0.8333333333333334,0.7884615384615384,0.8205128205128205,0.8193548387096774,0.8154156327543425,0.01650049893024046,16,0.7868852459016393,0.6666666666666667,0.7586206896551724,0.7666666666666666,0.7447098172225363,0.04621989761537099,10
